electrolyte_name,mol_molar_mass,mol_is_organic,mol_is_acid,mol_ionic_species,mol_solubility,cat_molar_mass,cat_charge,cat_valence_e,cat_hydrated_r,cat_ionic_r,cat_hydration_num,cat_hydration_h,cat_hsab,cat_atomic_num,cat_pt_group,cat_pt_period,cat_is_polyatomic,cat_electroneg,cat_ionization_e,cat_molar_mass_2,an_charge,an_valence_e_neutral,an_ionic_r,an_hydration_num,an_hsab,an_is_polyatomic
RbF,104.47,0.0,0.0,2.0,130.0,85.468,1.0,1.0,0.329,152.0,6.0,-296.0,0.0,37.0,1.0,5.0,0.0,0.82,4.18,19.0,-1.0,7.0,119.0,4.0,1.0,0.0
hydrogen chloride,36.46,0.0,1.0,2.0,2000.0,1.008,1.0,0.0,0.099,15.0,3.0,-1100.0,1.0,1.0,1.0,1.0,0.0,2.2,13.598,35.45,-1.0,7.0,167.0,6.0,1.0,0.0
hydrobromic acid,80.91,0.0,1.0,2.0,204.0,1.008,1.0,0.0,0.099,15.0,3.0,-1100.0,1.0,1.0,1.0,1.0,0.0,2.2,13.598,79.9,-1.0,7.0,196.0,6.0,0.5,0.0
hydroiodic acid,127.91,0.0,1.0,2.0,245.0,1.008,1.0,0.0,0.099,15.0,3.0,-1100.0,1.0,1.0,1.0,1.0,0.0,2.2,13.598,126.9,-1.0,7.0,220.0,6.0,0.0,0.0
perchloric acid,100.45,0.0,1.0,2.0,2000.0,1.008,1.0,0.0,0.099,15.0,3.0,-1100.0,1.0,1.0,1.0,1.0,0.0,2.2,13.598,99.45,-1.0,32.0,250.0,4.325,0.0,1.0
nitric acid,63.01,0.0,1.0,2.0,2000.0,1.008,1.0,0.0,0.099,15.0,3.0,-1100.0,1.0,1.0,1.0,1.0,0.0,2.2,13.598,62.0,-1.0,24.0,130.0,5.0,0.0,1.0
lithium hydroxide,23.95,0.0,0.0,2.0,12.8,6.94,1.0,1.0,0.13,76.0,4.0,-520.0,1.0,3.0,1.0,2.0,0.0,0.98,5.3917,17.01,-1.0,8.0,150.0,4.0,1.0,1.0
lithium chloride,42.39,0.0,0.0,2.0,84.2,6.94,1.0,1.0,0.13,76.0,4.0,-520.0,1.0,3.0,1.0,2.0,0.0,0.98,5.3917,35.45,-1.0,7.0,167.0,6.0,1.0,0.0
lithium bromide,86.845,0.0,0.0,2.0,166.7,6.94,1.0,1.0,0.13,76.0,4.0,-520.0,1.0,3.0,1.0,2.0,0.0,0.98,5.3917,79.9,-1.0,7.0,196.0,6.0,0.5,0.0
lithium iodide,133.85,0.0,0.0,2.0,151.0,6.94,1.0,1.0,0.13,76.0,4.0,-520.0,1.0,3.0,1.0,2.0,0.0,0.98,5.3917,126.9,-1.0,7.0,220.0,6.0,0.0,0.0
lithium perchlorate,106.392,0.0,0.0,2.0,60.0,6.94,1.0,1.0,0.13,76.0,4.0,-520.0,1.0,3.0,1.0,2.0,0.0,0.98,5.3917,99.45,-1.0,32.0,250.0,4.325,0.0,1.0
lithium nitrate,68.946,0.0,0.0,2.0,52.5,6.94,1.0,1.0,0.13,76.0,4.0,-520.0,1.0,3.0,1.0,2.0,0.0,0.98,5.3917,62.0,-1.0,24.0,130.0,5.0,0.0,1.0
AgNO3,169.87,0.0,0.0,2.0,122.0,107.8682,1.0,1.0,0.34,129.0,5.0,-473.0,0.0,47.0,11.0,5.0,0.0,1.93,7.576,62.0,-1.0,24.0,130.0,5.0,0.0,1.0
sodium hydroxide,40.0,0.0,0.0,2.0,111.0,22.99,1.0,1.0,0.19,102.0,4.0,-406.0,1.0,11.0,1.0,3.0,0.0,0.93,5.139,17.01,-1.0,8.0,150.0,4.0,1.0,1.0
sodium chlorate,106.44,0.0,0.0,2.0,20.9,22.99,1.0,1.0,0.19,102.0,4.0,-406.0,1.0,11.0,1.0,3.0,0.0,0.93,5.139,83.45,-1.0,26.0,171.0,5.0,0.5,1.0
potassium fluoride,58.097,0.0,0.0,2.0,92.3,39.1,1.0,1.0,0.133,138.0,4.0,-322.0,1.0,19.0,1.0,4.0,0.0,0.82,4.34,19.0,-1.0,7.0,119.0,4.0,1.0,0.0
