electrolyte,electrolyte_type,B_MX_0_simplified,B_MX_1_simplified,std_dev_simplified,ref_simplified,max_molality_simplified,B_MX_0_original,B_MX_1_original,B_MX_2_original,C_MX_phi_original,std_dev_original,ref_original,max_molality_original,r_M_angstrom,r_X_angstrom,cation_type,anion_type
CuCl2,2-1,0.2513,1.5432,0.006,24,1.00,0.3080,1.3763,0.00,-0.0404,0.003,9,2.00,0.73,1.81,k,c
FeCl2,2-1,0.3155,1.7278,0.008,27,2.00,0.3359,1.5323,0.00,-0.0086,0.002,9,2.00,0.78,1.81,k,c
Mg(ClO4)2,2-1,0.5230,1.9144,0.021,15,3.00,0.4961,2.0085,0.00,0.0096,0.002,9,2.00,0.72,2.25,k,c
MgBr2,2-1,0.4470,1.6462,0.026,26,5.50,0.4327,1.7528,0.00,0.0031,0.004,9,5.00,0.72,1.96,k,c
MgCl2,2-1,0.3765,1.5968,0.024,26,4.50,0.3524,1.6815,0.00,0.0052,0.003,9,4.50,0.72,1.81,k,c
MgI2,2-1,0.5267,1.4252,0.045,26,5.00,0.4902,1.8041,0.00,0.0079,0.003,9,5.00,0.72,2.2,k,c
Mn(ClO4)2,2-1,0.5518,1.7120,0.021,24,3.50,0.5316,2.1996,0.00,0.0061,0.013,this study,3.50,0.83,2.25,k,c
MnBr2,2-1,0.3747,2.0363,0.015,24,2.50,0.3971,1.7686,0.00,-0.0070,0.011,this study,2.50,0.83,1.96,k,c
MnCl2,2-1,0.2919,1.6033,0.010,24,1.50,0.3272,1.5503,0.00,-0.0205,0.003,9,2.50,0.83,1.81,k,c
Ni(ClO4)2,2-1,0.5453,1.7027,0.022,27,2.75,0.5273,1.9156,0.00,0.0089,0.019,this study,3.50,0.69,2.25,k,c
Ni(NO3)2,2-1,0.2970,2.1632,0.025,42,4.00,0.3037,2.1307,0.00,-0.0032,0.015,this study,5.00,0.69,1.79,k,c
NiBr2,2-1,0.4181,1.7725,0.018,27,4.25,0.4181,1.7725,0.00,0.0000,0.018,this study,4.25,0.69,1.96,k,c
NiCl2,2-1,0.3306,1.6622,0.014,27,3.25,0.3479,1.5810,0.00,-0.0037,0.002,9,2.50,0.69,1.81,k,c
Sr(ClO4)2,2-1,0.3879,1.8158,0.013,12,2.50,0.4269,1.5668,0.00,-0.0131,0.002,9,2.50,1.13,2.25,k,c
Sr(NO3)2,2-1,0.0992,1.6050,0.005,15,1.00,0.1346,1.3800,0.00,-0.0199,0.002,9,2.00,1.13,1.79,k,c
SrBr2,2-1,0.3321,1.7626,0.002,26,2.00,0.3311,1.7115,0.00,0.0012,0.001,9,2.00,1.13,1.96,k,c
SrCl2,2-1,0.2823,1.5771,0.009,19,3.80,0.2858,1.6673,0.00,-0.0013,0.003,9,4.00,1.13,1.81,k,c
