m (mol/kg),gamma,Osmotic NH42HPO4,a_water,Beta(0) ,Beta(1),Beta(2),C(MX)
0.700,0.4344,0.9326,0.965331,0.281,1.683,0,-0.00845
0.800,0.4397,0.9525,0.959654,0.281,1.683,0,-0.00845
0.900,0.4469,0.9730,0.953775,0.281,1.683,0,-0.00845
1.000,0.4556,0.9941,0.947690,0.281,1.683,0,-0.00845
1.250,0.4836,1.0492,0.931570,0.281,1.683,0,-0.00845
1.500,0.5197,1.1071,0.914158,0.281,1.683,0,-0.00845
1.750,0.5636,1.1671,0.895488,0.281,1.683,0,-0.00845
2.000,0.6154,1.2287,0.875624,0.281,1.683,0,-0.00845
2.250,0.6756,1.2915,0.854659,0.281,1.683,0,-0.00845
2.500,0.7447,1.3549,0.832709,0.281,1.683,0,-0.00845
2.750,0.8234,1.4186,0.809906,0.281,1.683,0,-0.00845
3.000,0.9123,1.4820,0.786395,0.281,1.683,0,-0.00845
3.250,1.0124,1.5450,0.762328,0.281,1.683,0,-0.00845
3.500,1.1242,1.6071,0.737860,0.281,1.683,0,-0.00845
3.750,1.2485,1.6680,0.713146,0.281,1.683,0,-0.00845
4.000,1.3862,1.7276,0.688333,0.281,1.683,0,-0.00845
4.250,1.5378,1.7855,0.663561,0.281,1.683,0,-0.00845
4.500,1.7041,1.8417,0.638959,0.281,1.683,0,-0.00845
4.750,1.8855,1.8959,0.614641,0.281,1.683,0,-0.00845
5.000,2.0827,1.9481,0.590708,0.281,1.683,0,-0.00845
5.250,2.2961,1.9982,0.567247,0.281,1.683,0,-0.00845
5.500,2.5261,2.0461,0.544326,0.281,1.683,0,-0.00845
5.750,2.7732,2.0919,0.522000,0.281,1.683,0,-0.00845
6.000,3.0378,2.1356,0.500307,0.281,1.683,0,-0.00845
6.250,3.3204,2.1774,0.479271,0.281,1.683,0,-0.00845
6.500,3.6217,2.2172,0.458902,0.281,1.683,0,-0.00845
6.750,3.9423,2.2554,0.439197,0.281,1.683,0,-0.00845
7.000,4.2836,2.2921,0.420143,0.281,1.683,0,-0.00845
7.250,4.6468,2.3275,0.401715,0.281,1.683,0,-0.00845
7.500,5.0341,2.3620,0.383878,0.281,1.683,0,-0.00845
7.750,5.4480,2.3958,0.366593,0.281,1.683,0,-0.00845
7.840,5.6041,2.4079,0.360496,0.281,1.683,0,-0.00845
,,,,,,,
Cuptoluenesulfonate,Y,ø,a,,,,
0.001,0.8883,0.9622,0.999948,,,,
0.002,0.8504,0.9491,0.999897,,,,
0.003,0.8240,0.9400,0.999848,,,,
0.004,0.8032,0.9327,0.999798,,,,
0.005,0.7860,0.9268,0.999750,,,,
0.006,0.7712,0.9216,0.999701,,,,
0.007,0.7583,0.9171,0.999653,,,,
0.008,0.7467,0.9131,0.999605,,,,
0.009,0.7363,0.9095,0.999558,,,,
0.010,0.7268,0.9062,0.999510,,,,
0.020,0.6604,0.8833,0.999046,,,,
0.030,0.6195,0.8695,0.998591,,,,
0.040,0.5900,0.8597,0.998143,,,,
0.050,0.5671,0.8522,0.997700,,,,
0.060,0.5484,0.8462,0.997260,,,,
0.070,0.5327,0.8412,0.996823,,,,
0.080,0.5192,0.8370,0.996388,,,,
0.090,0.5073,0.8333,0.995955,,,,
0.100,0.4968,0.8300,0.995524,,,,
0.200,0.4292,0.8090,0.991293,,,,
0.300,0.3910,0.7959,0.987179,,,,
0.400,0.3642,0.7850,0.983172,,,,
0.500,0.3433,0.7751,0.979273,,,,
0.600,0.3261,0.7654,0.975484,,,,
0.700,0.3113,0.7559,0.971807,,,,
0.800,0.2983,0.7464,0.968241,,,,
,,,,,,,
MnCl2,r,Unnamed: 2,a,,,,
0.001,0.8882,0.9621,0.999948,0.3268,1.524,0,-0.02109
0.002,0.8503,0.9491,0.999897,0.3268,1.524,0,-0.02109
0.003,0.8239,0.9399,0.999840,0.3268,1.524,0,-0.02109
0.004,0.8031,0.9327,0.999798,0.3268,1.524,0,-0.02109
0.005,0.7859,0.9268,0.999750,0.3268,1.524,0,-0.02109
0.006,0.7712,0.9217,0.999701,0.3268,1.524,0,-0.02109
0.007,0.7583,0.9173,0.999653,0.3268,1.524,0,-0.02109
0.008,0.7469,0.9134,0.999605,0.3268,1.524,0,-0.02109
0.009,0.7365,0.9098,0.999558,0.3268,1.524,0,-0.02109
0.010,0.7271,0.9066,0.999510,0.3268,1.524,0,-0.02109
0.020,0.6620,0.8851,0.999044,0.3268,1.524,0,-0.02109
0.030,0.6227,0.8729,0.998586,0.3268,1.524,0,-0.02109
0.040,0.5949,0.8649,0.998132,0.3268,1.524,0,-0.02109
0.050,0.5737,0.8595,0.997680,0.3268,1.524,0,-0.02109
0.060,0.5568,0.8556,0.997229,0.3268,1.524,0,-0.02109
0.070,0.5430,0.8528,0.996779,0.3268,1.524,0,-0.02109
0.080,0.5313,0.8509,0.996328,0.3268,1.524,0,-0.02109
0.090,0.5213,0.8495,0.995876,0.3268,1.524,0,-0.02109
0.100,0.5126,0.8487,0.995424,0.3268,1.524,0,-0.02109
0.200,0.4641,0.8537,0.990815,0.3268,1.524,0,-0.02109
0.300,0.4452,0.8688,0.986012,0.3268,1.524,0,-0.02109
0.400,0.4380,0.8877,0.980992,0.3268,1.524,0,-0.02109
0.500,0.4372,0.9086,0.975745,0.3268,1.524,0,-0.02109
0.600,0.4404,0.9307,0.970270,0.3268,1.524,0,-0.02109
0.700,0.4466,0.9537,0.964565,0.3268,1.524,0,-0.02109
0.800,0.4551,0.9771,0.958633,0.3268,1.524,0,-0.02109
0.900,0.4655,1.0010,0.952477,0.3268,1.524,0,-0.02109
1.000,0.4775,1.0251,0.946106,0.3268,1.524,0,-0.02109
1.250,0.5135,1.0856,0.929282,0.3268,1.524,0,-0.02109
1.500,0.5567,1.1456,0.911309,0.3268,1.524,0,-0.02109
1.750,0.6062,1.2039,0.892378,0.3268,1.524,0,-0.02109
2.000,0.6611,1.2597,0.872696,0.3268,1.524,0,-0.02109
2.250,0.7209,1.3125,0.852475,0.3268,1.524,0,-0.02109
2.500,0.7847,1.3619,0.831922,0.3268,1.524,0,-0.02109
2.750,0.8521,1.4076,0.811224,0.3268,1.524,0,-0.02109
3.000,0.9224,1.4496,0.790545,0.3268,1.524,0,-0.02109
3.250,0.9950,1.4878,0.770023,0.3268,1.524,0,-0.02109
3.500,1.0694,1.5225,0.749763,0.3268,1.524,0,-0.02109
3.750,1.1452,1.5538,0.729846,0.3268,1.524,0,-0.02109
4.000,1.2221,1.5822,0.710319,0.3268,1.524,0,-0.02109
4.250,1.2999,1.6078,0.691210,0.3268,1.524,0,-0.02109
4.500,1.3786,1.6312,0.672520,0.3268,1.524,0,-0.02109
4.750,1.4584,1.6527,0.654236,0.3268,1.524,0,-0.02109
5.000,1.5393,1.6728,0.636333,0.3268,1.524,0,-0.02109
5.250,1.6219,1.6917,0.618779,0.3268,1.524,0,-0.02109
5.500,1.7063,1.7099,0.601540,0.3268,1.524,0,-0.02109
5.750,1.7931,1.7275,0.584587,0.3268,1.524,0,-0.02109
6.000,1.8824,1.7448,0.567902,0.3268,1.524,0,-0.02109
6.250,1.9746,1.7619,0.551481,0.3268,1.524,0,-0.02109
6.500,2.0697,1.7787,0.535343,0.3268,1.524,0,-0.02109
6.750,2.1671,1.7950,0.519530,0.3268,1.524,0,-0.02109
7.000,2.2661,1.8105,0.504116,0.3268,1.524,0,-0.02109
7.250,2.3654,1.8247,0.489209,0.3268,1.524,0,-0.02109
7.500,2.4627,1.8368,0.474955,0.3268,1.524,0,-0.02109
7.600,2.5366,1.8444,0.464199,0.3268,1.524,0,-0.02109
,,,,,,,
MnClO4,Y,Ø,a,,,,
0.001,0.8923,0.9644,0.999948,,,,
0.002,0.8576,0.9531,0.999897,,,,
0.003,0.8340,0.9457,0.999847,,,,
0.004,0.8158,0.9400,0.999797,,,,
0.005,0.8009,0.9356,0.999747,,,,
0.006,0.7884,0.9318,0.999698,,,,
0.007,0.7775,0.9287,0.999649,,,,
0.008,0.7679,0.9260,0.999600,,,,
0.009,0.7593,0.9236,0.999551,,,,
0.010,0.7516,0.9215,0.999502,,,,
0.020,0.7001,0.9094,0.999018,,,,
0.030,0.6709,0.9045,0.998534,,,,
0.040,0.6514,0.9028,0.998050,,,,
0.050,0.6374,0.9028,0.997563,,,,
0.060,0.6269,0.9039,0.997073,,,,
0.070,0.6189,0.9056,0.996580,,,,
0.080,0.6126,0.9079,0.996082,,,,
0.090,0.6060,0.9099,0.995581,,,,
0.100,0.6037,0.9133,0.995076,,,,
0.200,0.5960,0.9498,0.989786,,,,
0.300,0.6141,0.9922,0.984041,,,,
0.400,0.6451,1.0376,0.977819,,,,
0.500,0.6858,1.0853,0.971098,,,,
0.600,0.7353,1.1351,0.963860,,,,
0.700,0.7938,1.1869,0.956089,,,,
0.800,0.8618,1.2406,0.947772,,,,
0.900,0.9402,1.2962,0.938897,,,,
1.000,1.0303,1.3535,0.929458,,,,
1.250,1.3169,1.5041,0.903377,,,,
1.500,1.7182,1.6642,0.873791,,,,
1.750,2.2807,1.8325,0.840871,,,,
2.000,3.0719,2.0077,0.804913,,,,
2.250,4.1885,2.1887,0.766320,,,,
2.500,5.7691,2.3741,0.725588,,,,
2.750,8.0102,2.5625,0.683276,,,,
3.000,11.1896,2.7527,0.639984,,,,
3.250,15.6954,2.9432,0.596320,,,,
3.456,20.7845,3.0998,0.560448,,,,
,,,,,,,
MnBr2,Y,Ø,a,,,,
0.001,0.8895,0.9628,0.999948,,,,
0.002,0.8526,0.9503,0.999897,,,,
0.003,0.8270,0.9417,0.999847,,,,
0.004,0.8071,0.9351,0.999798,,,,
0.005,0.7906,0.9296,0.999749,,,,
0.006,0.7766,0.9250,0.999700,,,,
0.007,0.7644,0.9210,0.999652,,,,
0.008,0.7536,0.9175,0.999603,,,,
0.009,0.7438,0.9143,0.999555,,,,
0.010,0.7349,0.9115,0.999507,,,,
0.020,0.6743,0.8932,0.999035,,,,
0.030,0.6384,0.8837,0.998568,,,,
0.040,0.6134,0.8780,0.998104,,,,
0.050,0.5946,0.8746,0.997639,,,,
0.060,0.5799,0.8726,0.997174,,,,
0.070,0.5680,0.8715,0.996708,,,,
0.080,0.5581,0.8712,0.996240,,,,
0.090,0.5491,0.8714,0.995770,,,,
0.100,0.5428,0.8720,0.995298,,,,
0.200,0.5080,0.8899,0.990427,,,,
0.300,0.5014,0.9167,0.985247,,,,
0.400,0.5068,0.9472,0.979731,,,,
0.500,0.5194,0.9800,0.973864,,,,
0.600,0.5373,1.0146,0.967635,,,,
0.700,0.5597,1.0504,0.961039,,,,
0.800,0.5861,1.0874,0.954072,,,,
0.900,0.6163,1.1252,0.946737,,,,
1.000,0.6504,1.1638,0.939038,,,,
1.250,0.7524,1.2624,0.918251,,,,
1.500,0.8801,1.3625,0.895423,,,,
1.750,1.0363,1.4625,0.870818,,,,
2.000,1.2240,1.5608,0.844754,,,,
2.250,1.4466,1.6562,0.817581,,,,
2.500,1.7070,1.7479,0.789653,,,,
2.750,2.0080,1.8349,0.761314,,,,
3.000,2.3517,1.9167,0.732883,,,,
3.250,2.7397,1.9930,0.704642,,,,
3.500,3.1728,2.0635,0.676829,,,,
3.750,3.6509,2.1283,0.649637,,,,
4.000,4.1737,2.1874,0.623209,,,,
4.250,4.7403,2.2410,0.597645,,,,
4.500,5.3499,2.2897,0.573000,,,,
4.750,6.0021,2.3338,0.549292,,,,
5.000,6.6970,2.3739,0.526504,,,,
5.250,7.4364,2.4107,0.504589,,,,
5.500,8.2235,2.4449,0.483481,,,,
5.640,8.6871,2.4631,0.471980,,,,
,,,,,,,
UO2Cl2,Y,Ø,aw,,,,
0.001,0.8885,0.9623,0.999948,0.4116,1.663,0,-0.03029
0.002,0.8508,0.9494,0.999897,0.4116,1.663,0,-0.03029
0.003,0.8245,0.9404,0.999848,0.4116,1.663,0,-0.03029
0.004,0.8040,0.9333,0.999798,0.4116,1.663,0,-0.03029
0.005,0.7871,0.9276,0.999749,0.4116,1.663,0,-0.03029
0.006,0.7726,0.9226,0.999701,0.4116,1.663,0,-0.03029
0.007,0.7600,0.9184,0.999653,0.4116,1.663,0,-0.03029
0.008,0.7487,0.9146,0.999605,0.4116,1.663,0,-0.03029
0.009,0.7386,0.9112,0.999557,0.4116,1.663,0,-0.03029
0.010,0.7293,0.9082,0.999509,0.4116,1.663,0,-0.03029
0.020,0.6662,0.8882,0.999040,0.4116,1.663,0,-0.03029
0.030,0.6285,0.8776,0.998578,0.4116,1.663,0,-0.03029
0.040,0.6024,0.8712,0.998118,0.4116,1.663,0,-0.03029
0.050,0.5827,0.8673,0.997659,0.4116,1.663,0,-0.03029
0.060,0.5674,0.8650,0.997199,0.4116,1.663,0,-0.03029
0.070,0.5549,0.8637,0.996738,0.4116,1.663,0,-0.03029
0.080,0.5447,0.8633,0.996274,0.4116,1.663,0,-0.03029
0.090,0.5360,0.8634,0.995809,0.4116,1.663,0,-0.03029
0.100,0.5287,0.8641,0.995341,0.4116,1.663,0,-0.03029
0.200,0.4929,0.8832,0.990498,0.4116,1.663,0,-0.03029
0.300,0.4859,0.9111,0.985336,0.4116,1.663,0,-0.03029
0.400,0.4903,0.9415,0.979853,0.4116,1.663,0,-0.03029
0.500,0.5009,0.9726,0.974060,0.4116,1.663,0,-0.03029
0.600,0.5156,1.0039,0.967971,0.4116,1.663,0,-0.03029
0.700,0.5335,1.0350,0.961599,0.4116,1.663,0,-0.03029
0.800,0.5540,1.0659,0.954958,0.4116,1.663,0,-0.03029
0.900,0.5766,1.0965,0.948062,0.4116,1.663,0,-0.03029
1.000,0.6013,1.1267,0.940924,0.4116,1.663,0,-0.03029
1.250,0.6712,1.2004,0.922107,0.4116,1.663,0,-0.03029
1.500,0.7522,1.2715,0.902056,0.4116,1.663,0,-0.03029
1.750,0.8443,1.3400,0.880964,0.4116,1.663,0,-0.03029
2.000,0.9479,1.4060,0.859010,0.4116,1.663,0,-0.03029
2.250,1.0634,1.4694,0.836367,0.4116,1.663,0,-0.03029
2.500,1.1913,1.5304,0.813200,0.4116,1.663,0,-0.03029
2.750,1.3322,1.5889,0.789661,0.4116,1.663,0,-0.03029
3.000,1.4868,1.6450,0.765893,0.4116,1.663,0,-0.03029
3.174,1.6026,1.6826,0.749286,0.4116,1.663,0,-0.03029
,,,,,,,
UO2ClO42,Y,ø,a,,,,
0.001,0.8911,0.9637,0.999948,0.6563,1.903,0,0.008736
0.002,0.8555,0.9520,0.999897,0.6563,1.903,0,0.008736
0.003,0.8311,0.9441,0.999847,0.6563,1.903,0,0.008736
0.004,0.8123,0.9381,0.999797,0.6563,1.903,0,0.008736
0.005,0.7969,0.9333,0.999748,0.6563,1.903,0,0.008736
0.006,0.7838,0.9293,0.999699,0.6563,1.903,0,0.008736
0.007,0.7725,0.9259,0.999650,0.6563,1.903,0,0.008736
0.008,0.7625,0.9230,0.999601,0.6563,1.903,0,0.008736
0.009,0.7535,0.9204,0.999552,0.6563,1.903,0,0.008736
0.010,0.7455,0.9181,0.999504,0.6563,1.903,0,0.008736
0.020,0.6917,0.9048,0.999022,0.6563,1.903,0,0.008736
0.030,0.6613,0.8997,0.998542,0.6563,1.903,0,0.008736
0.040,0.6413,0.8980,0.998060,0.6563,1.903,0,0.008736
0.050,0.6271,0.8984,0.997575,0.6563,1.903,0,0.008736
0.060,0.6167,0.9000,0.997086,0.6563,1.903,0,0.008736
0.070,0.6088,0.9025,0.996591,0.6563,1.903,0,0.008736
0.080,0.6030,0.9056,0.996092,0.6563,1.903,0,0.008736
0.090,0.5985,0.9062,0.995587,0.6563,1.903,0,0.008736
0.100,0.5953,0.9131,0.995077,0.6563,1.903,0,0.008736
0.200,0.5974,0.9624,0.989651,0.6563,1.903,0,0.008736
0.300,0.6300,1.0202,0.983595,0.6563,1.903,0,0.008736
0.400,0.6799,1.0821,0.976877,0.6563,1.903,0,0.008736
0.500,0.7443,1.1473,0.969472,0.6563,1.903,0,0.008736
0.600,0.8232,1.2153,0.951357,0.6563,1.903,0,0.008736
0.700,0.9180,1.2858,0.952518,0.6563,1.903,0,0.008736
0.800,1.0307,1.3588,0.942943,0.6563,1.903,0,0.008736
0.900,1.1642,1.4340,0.932626,0.6563,1.903,0,0.008736
1.000,1.3219,1.5113,0.921566,0.6563,1.903,0,0.008736
1.250,1.8526,1.7132,0.890706,0.6563,1.903,0,0.008736
1.500,2.6587,1.9258,0.855453,0.6563,1.903,0,0.008736
1.750,3.8902,2.1472,0.816210,0.6563,1.903,0,0.008736
2.000,5.7818,2.3754,0.773549,0.6563,1.903,0,0.008736
2.250,8.6998,2.6086,0.728175,0.6563,1.903,0,0.008736
2.500,13.2113,2.8447,0.680886,0.6563,1.903,0,0.008736
2.750,20.1874,3.0817,0.632529,0.6563,1.903,0,0.008736
3.000,30.9495,3.3178,0.583952,0.6563,1.903,0,0.008736
3.250,47.4706,3.5508,0.535962,0.6563,1.903,0,0.008736
3.500,72.6396,3.7788,0.489292,0.6563,1.903,0,0.008736
3.750,110.5832,3.9997,0.444575,0.6563,1.903,0,0.008736
4.000,167.0204,4.2116,0.402325,0.6563,1.903,0,0.008736
4.250,249.5856,4.4125,0.362930,0.6563,1.903,0,0.008736
4.500,367.9998,4.6004,0.326656,0.6563,1.903,0,0.008736
4.750,533.9081,4.7732,0.293651,0.6563,1.903,0,0.008736
5.000,760.1365,4.9289,0.263967,0.6563,1.903,0,0.008736
5.250,1059.1089,5.0655,0.237571,0.6563,1.903,0,0.008736
5.458,1370.2327,5.1631,0.218048,0.6563,1.903,0,0.008736
,,,,,,,
UO2NO32,Y,ø,a,,,,
0.001,0.8876,0.9618,0.999948,0.4735,1.539,0,-0.03665
0.002,0.8492,0.9485,0.999897,0.4735,1.539,0,-0.03665
0.003,0.8226,0.9393,0.999848,0.4735,1.539,0,-0.03665
0.004,0.8017,0.9321,0.999799,0.4735,1.539,0,-0.03665
0.005,0.7845,0.9262,0.999750,0.4735,1.539,0,-0.03665
0.006,0.7698,0.9212,0.999701,0.4735,1.539,0,-0.03665
0.007,0.7569,0.9169,0.999653,0.4735,1.539,0,-0.03665
0.008,0.7455,0.9130,0.999605,0.4735,1.539,0,-0.03665
0.009,0.7353,0.9096,0.999558,0.4735,1.539,0,-0.03665
0.010,0.7260,0.9066,0.999510,0.4735,1.539,0,-0.03665
0.020,0.6629,0.8873,0.999041,0.4735,1.539,0,-0.03665
0.030,0.6262,0.8779,0.998578,0.4735,1.539,0,-0.03665
0.040,0.6012,0.8731,0.998114,0.4735,1.539,0,-0.03665
0.050,0.5829,0.8708,0.997650,0.4735,1.539,0,-0.03665
0.060,0.5680,0.8700,0.997183,0.4735,1.539,0,-0.03665
0.070,0.5577,0.8703,0.996713,0.4735,1.539,0,-0.03665
0.080,0.5488,0.8714,0.996240,0.4735,1.539,0,-0.03665
0.090,0.5414,0.8729,0.995763,0.4735,1.539,0,-0.03665
0.100,0.5353,0.8749,0.995283,0.4735,1.539,0,-0.03665
0.200,0.5088,0.9028,0.990289,0.4735,1.539,0,-0.03665
0.300,0.5079,0.9345,0.984962,0.4735,1.539,0,-0.03665
0.400,0.5171,0.9669,0.979313,0.4735,1.539,0,-0.03665
0.500,0.5325,1.0001,0.973336,0.4735,1.539,0,-0.03665
0.600,0.5527,1.0342,0.967018,0.4735,1.539,0,-0.03665
0.700,0.5771,1.0695,0.960347,0.4735,1.539,0,-0.03665
0.800,0.6054,1.1057,0.953316,0.4735,1.539,0,-0.03665
0.900,0.6375,1.1428,0.945928,0.4735,1.539,0,-0.03665
1.000,0.6733,1.1806,0.938188,0.4735,1.539,0,-0.03665
1.250,0.7791,1.2759,0.917413,0.4735,1.539,0,-0.03665
1.500,0.9072,1.3695,0.894915,0.4735,1.539,0,-0.03665
1.750,1.0561,1.4578,0.871201,0.4735,1.539,0,-0.03665
2.000,1.2231,1.5381,0.846830,0.4735,1.539,0,-0.03665
2.250,1.4039,1.6084,0.822347,0.4735,1.539,0,-0.03665
2.500,1.5935,1.6678,0.798237,0.4735,1.539,0,-0.03665
2.750,1.7860,1.7159,0.774897,0.4735,1.539,0,-0.03665
3.000,1.9754,1.7528,0.752624,0.4735,1.539,0,-0.03665
3.250,2.1565,1.7791,0.731614,0.4735,1.539,0,-0.03665
3.500,2.3250,1.7959,0.711968,0.4735,1.539,0,-0.03665
3.750,2.4781,1.8045,0.693701,0.4735,1.539,0,-0.03665
4.000,2.6146,1.8061,0.676758,0.4735,1.539,0,-0.03665
4.250,2.7348,1.8022,0.661023,0.4735,1.539,0,-0.03665
4.500,2.8405,1.7945,0.646336,0.4735,1.539,0,-0.03665
4.750,2.9344,1.7843,0.632502,0.4735,1.539,0,-0.03665
5.000,3.0199,1.7731,0.619310,0.4735,1.539,0,-0.03665
5.250,3.1009,1.7621,0.606538,0.4735,1.539,0,-0.03665
5.500,3.1811,1.7524,0.593972,0.4735,1.539,0,-0.03665
5.511,3.1847,1.7521,0.593421,0.4735,1.539,0,-0.03665
,,,,,,,
H2SO4,,Osmotic,a W,,,,
0.0730,,0.6400,0.99748,,,,
0.2410,,0.6513,0.99155,,,,
0.3150,,0.6554,0.9889,,,,
0.5490,,0.6710,0.98029,,,,
0.6360,,0.6767,0.97707,,,,
0.8920,,0.7014,0.96675,,,,
1.0970,,0.7206,0.95818,,,,
1.2820,,0.7425,0.94986,,,,
1.6710,,0.8029,0.93006,,,,
1.7720,,0.8149,0.92493,,,,
2.0090,,0.8452,0.91232,,,,
2.4680,,0.9025,0.88659,,,,
2.8710,,0.9741,0.85972,,,,
7.3259,,1.6453,0.5213,,,,
7.9431,,1.6911,0.48385,,,,
8.3557,,1.7447,0.45481,,,,
8.5432,,1.7694,0.44176,,,,
9.2102,,1.8488,0.39841,,,,
9.9741,,1.9197,0.35547,,,,
10.8050,,1.9349,0.32305,,,,
11.6090,,2.014,0.28263,,,,
12.5732,,2.0765,0.24389,,,,
19.7043,,2.4203,0.07596,,,,
19.7043,,2.4276,0.07537,,,,
32.2874,,2.5029,0.01268,,,,
32.2874,,2.5144,0.01243,,,,
32.2874,,2.5163,0.01239,,,,
39.2992,,2.3597,0.00666,,,,
51.5980,,2.0325,0.00346,,,,
1.1329,,0.734,0.95605,,,,
2.549,,0.9268,0.88013,,,,
3.3987,,1.0461,0.82518,,,,
4.3697,,1.2055,0.75224,,,,
5.4902,,1.3836,0.66328,,,,
6.7973,,1.5526,0.56531,,,,
8.3422,,1.716,0.46132,,,,
10.196,,1.0677,0.35729,,,,
12.4618,,2.0101,0.25824,,,,
15.294,,2.1712,0.16618,,,,
18.9354,,2.2786,0.09711,,,,
23.7907,,2.5631,0.03705,,,,
12.4618 ,,2.0007,0.25989,,,,
15.2940 ,,2.1544,0.16951,,,,
17.3608 ,,2.5365,0.03426,,,,
18.9354 ,,2.3022,0.09479,,,,
23.7907 ,,2.4705,0.04171,,,,
30.5880 ,,2.4123,0.01854,,,,
40.7840 ,,2.3287,0.0059,,,,
57.7774 ,,2.0531,0.00164,,,,
91.7641 ,,1.6211,0.00032,,,,
193.7242 ,,1.011,0.00003,,,,
1.1329 ,,0.6999,0.95805,,,,
2.5490,,0.9104,0.88213,,,,
4.3697,,1.2224,0.74924,,,,
6.7973,,1.5622,0.56331,,,,
8.3422,,1.7256,0.45931,,,,
10.1960,,1.8933,0.35229,,,,
12.4618,,2.0748,0.24724,,,,
15.2940,,2.231,0.15817,,,,
18.9354,,2.3198,0.09311,,,,
23.7907,,2.4109,0.04505,,,,
30.5880,,2.4639,0.01702,,,,
40.7840 ,,2.5044,0.00401,,,,
,,,,,,,
MgCl2,gamma,Osmotic,a,,,,
0.001,0.8893,0.9627,0.999948,0.3553,1.644,0,0.005098
0.002,0.8522,0.9501,0.999897,0.3553,1.644,0,0.005098
0.003,0.8265,0.9415,0.999847,0.3553,1.644,0,0.005098
0.004,0.8065,0.9347,0.999798,0.3553,1.644,0,0.005098
0.005,0.7899,0.9292,0.999749,0.3553,1.644,0,0.005098
0.006,0.7758,0.9245,0.999700,0.3553,1.644,0,0.005098
0.007,0.7634,0.9224,0.999652,0.3553,1.644,0,0.005098
0.008,0.7525,0.9168,0.999604,0.3553,1.644,0,0.005098
0.009,0.7426,0.9135,0.999556,0.3553,1.644,0,0.005098
0.010,0.7336,0.9106,0.999508,0.3553,1.644,0,0.005098
0.020,0.6721,0.8916,0.999037,0.3553,1.644,0,0.005098
0.030,0.6352,0.8813,0.998572,0.3553,1.644,0,0.005098
0.040,0.6094,0.8749,0.998110,0.3553,1.644,0,0.005098
0.050,0.5899,0.8708,0.997650,0.3553,1.644,0,0.005098
0.060,0.5745,0.8681,0.997189,0.3553,1.644,0,0.005098
0.070,0.5619,0.8663,0.996728,0.3553,1.644,0,0.005098
0.080,0.5513,0.8653,0.996266,0.3553,1.644,0,0.005098
0.090,0.5424,0.8648,0.995802,0.3553,1.644,0,0.005098
0.100,0.5347,0.8648,0.995337,0.3553,1.644,0,0.005098
0.200,0.4935,0.8760,0.990576,0.3553,1.644,0,0.005098
0.300,0.4837,0.8963,0.985573,0.3553,1.644,0,0.005098
0.400,0.4796,0.9206,0.980295,0.3553,1.644,0,0.005098
0.500,0.4855,0.9475,0.974721,0.3553,1.644,0,0.005098
0.600,0.4962,0.9765,0.968830,0.3553,1.644,0,0.005098
0.700,0.5111,1.0073,0.962608,0.3553,1.644,0,0.005098
0.800,0.5296,1.0398,0.956038,0.3553,1.644,0,0.005098
0.900,0.5515,1.0738,0.949111,0.3553,1.644,0,0.005098
1.000,0.5769,1.1392,0.941815,0.3553,1.644,0,0.005098
1.250,0.6561,1.2034,0.921921,0.3553,1.644,0,0.005098
1.500,0.7622,1.3047,0.899629,0.3553,1.644,0,0.005098
1.750,0.8943,1.4123,0.874965,0.3553,1.644,0,0.005098
2.000,1.0655,1.5256,0.848029,0.3553,1.644,0,0.005098
2.250,1.2828,1.6421,0.818987,0.3553,1.644,0,0.005098
2.500,1.5584,1.7629,0.788056,0.3553,1.644,0,0.005098
2.750,1.9076,1.8865,0.755495,0.3553,1.644,0,0.005098
3.000,2.3498,2.0125,0.721589,0.3553,1.644,0,0.005098
3.250,2.9103,2.1403,0.686640,0.3553,1.644,0,0.005098
3.500,3.6211,2.2696,0.650952,0.3553,1.644,0,0.005098
3.750,4.5231,2.4220,0.614828,0.3553,1.644,0,0.005098
4.000,5.6692,2.5313,0.578552,0.3553,1.644,0,0.005098
4.250,7.1273,2.6634,0.542392,0.3553,1.644,0,0.005098
4.500,8.9854,2.7962,0.506587,0.3553,1.644,0,0.005098
4.750,11.3582,2.9299,0.471354,0.3553,1.644,0,0.005098
5.000,14.3960,3.0645,0.436875,0.3553,1.644,0,0.005098
5.250,18.2979,3.2003,0.403309,0.3553,1.644,0,0.005098
5.500,23.3290,3.3377,0.370786,0.3553,1.644,0,0.005098
5.750,29.8468,3.4771,0.339410,0.3553,1.644,0,0.005098
5.840,32.6458,3.5279,0.328412,0.3553,1.644,0,0.005098
5.925,35.5476,3.5762,0.318175,0.3553,1.644,0,0.005098
,,,,,,,
MgBr2,Unnamed: 1,Ø,a,,,,
0.001,0.8892,0.9627,0.999978,0.4368,1.73,0,0.002432
0.002,0.8520,0.9500,0.999897,0.4368,1.73,0,0.002432
0.003,0.8262,0.9413,0.999847,0.4368,1.73,0,0.002432
0.004,0.8062,0.9346,0.999798,0.4368,1.73,0,0.002432
0.005,0.7896,0.9290,0.999749,0.4368,1.73,0,0.002432
0.006,0.7755,0.9243,0.999700,0.4368,1.73,0,0.002432
0.007,0.7631,0.9203,0.999652,0.4368,1.73,0,0.002432
0.008,0.7522,0.9167,0.999604,0.4368,1.73,0,0.002432
0.009,0.7423,0.9135,0.999556,0.4368,1.73,0,0.002432
0.010,0.7334,0.9107,0.999508,0.4368,1.73,0,0.002432
