m (mol/kg),gamma,Osmotic NH42HPO4,a_water,Beta(0) ,Beta(1),Beta(2),C(MX)
3.806,0.2389,0.8333,0.842470,,,,
,,,,,,,
Li2SO4,,,,,,,
m (mol/kg),gamma,Osmotic,a_water,0.1408,1.184,0,-0.0051
0.001,0.8866,0.9612,0.999948,0.1408,1.184,0,-0.0051
0.002,0.8473,0.9473,0.999898,0.1408,1.184,0,-0.0051
0.003,0.8196,0.9374,0.999840,0.1408,1.184,0,-0.0051
0.004,0.7978,0.9296,0.999799,0.1408,1.184,0,-0.0051
0.005,0.7796,0.9230,0.999751,0.1408,1.184,0,-0.0051
0.006,0.7639,0.9172,0.999703,0.1408,1.184,0,-0.0051
0.007,0.7502,0.9122,0.999655,0.1408,1.184,0,-0.0051
0.008,0.7378,0.9077,0.999608,0.1408,1.184,0,-0.0051
0.009,0.7267,0.9035,0.999561,0.1408,1.184,0,-0.0051
0.010,0.7165,0.8998,0.999514,0.1408,1.184,0,-0.0051
0.020,0.6450,0.8731,0.999057,0.1408,1.184,0,-0.0051
0.030,0.6006,0.8566,0.998612,0.1408,1.184,0,-0.0051
0.040,0.5686,0.8449,0.998175,0.1408,1.184,0,-0.0051
0.050,0.5438,0.8358,0.997744,0.1408,1.184,0,-0.0051
0.060,0.5236,0.8287,0.997316,0.1408,1.184,0,-0.0051
0.070,0.5067,0.8228,0.996892,0.1408,1.184,0,-0.0051
0.080,0.4923,0.8178,0.996470,0.1408,1.184,0,-0.0051
0.090,0.4797,0.8136,0.996050,0.1408,1.184,0,-0.0051
0.100,0.4686,0.8100,0.995632,0.1408,1.184,0,-0.0051
0.200,0.3998,0.7903,0.991494,0.1408,1.184,0,-0.0051
0.300,0.3641,0.7832,0.987381,0.1408,1.184,0,-0.0051
0.400,0.3411,0.7809,0.983261,0.1408,1.184,0,-0.0051
0.500,0.3248,0.7809,0.979120,0.1408,1.184,0,-0.0051
0.600,0.3126,0.7823,0.974951,0.1408,1.184,0,-0.0051
0.700,0.3031,0.7848,0.970747,0.1408,1.184,0,-0.0051
0.800,0.2955,0.7880,0.966502,0.1408,1.184,0,-0.0051
0.900,0.2894,0.7919,0.962212,0.1408,1.184,0,-0.0051
1.000,0.2845,0.7964,0.957870,0.1408,1.184,0,-0.0051
1.250,0.2759,0.8099,0.946757,0.1408,1.184,0,-0.0051
1.500,0.2713,0.8262,0.935211,0.1408,1.184,0,-0.0051
1.750,0.2696,0.8454,0.923151,0.1408,1.184,0,-0.0051
2.000,0.2703,0.8674,0.910502,0.1408,1.184,0,-0.0051
2.250,0.2732,0.8921,0.897191,0.1408,1.184,0,-0.0051
